# Constructed from biom file																								
#OTU ID	19-03-26-R1-N1-A	19-03-26-R1-N1-B	19-03-26-R1-N1-C	19-03-26-R1-N1-D	19-03-26-R1-N2-C	22-01-18-R1-N1-B	22-01-18-R1-N1-C	22-01-18-R1-N1-D	22-01-18-R1-N2-A	22-01-18-R1-N2-B	22-01-18-R1-N2-C	22-01-18-R1-N2-D	22-01-25-R1-N1-A	22-01-25-R1-N1-B	22-01-25-R1-N1-D	22-01-25-R1-N2-A	22-01-25-R1-N2-B	22-01-25-R1-N2-D	22-03-22-R1-N1-B	22-03-22-R1-N1-C	22-03-22-R1-N1-D	22-03-22-R1-N2-B	22-03-22-R1-N2-D	taxonomy
LOWRY-BTS-108	66	153	116	31	90	0	0	0	66	0	0	34	0	42	0	0	0	24	31	0	0	0	25	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Lautropia
LOWRY-BTS-109	46	85	46	12	59	11	7	11	57	21	15	63	19	0	0	12	5	37	44	19	29	21	24	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__Blastocatella; s__uncultured_bacterium
LOWRY-BTS-110	71	167	132	38	197	0	0	16	0	18	0	0	0	0	0	16	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Leptothrix; s__Leptothrix_mobilis
LOWRY-BTS-111	94	163	119	67	32	0	0	0	25	0	0	39	34	12	12	0	0	18	23	11	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Coxiellales; f__Coxiellaceae; g__Coxiella
LOWRY-BTS-112	34	98	90	0	71	37	0	35	22	20	0	27	34	0	34	16	12	12	27	0	19	28	17	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__Phaeodactylibacter; s__metagenome
LOWRY-BTS-113	0	0	0	0	0	17	11	34	35	14	0	76	119	38	12	45	37	66	33	23	14	19	19	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Amb-16S-1323; g__Amb-16S-1323; s__uncultured_bacterium
LOWRY-BTS-114	69	232	142	25	116	6	0	8	11	6	0	9	0	4	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Cyanobacteria; c__Sericytochromatia; o__Sericytochromatia; f__Sericytochromatia; g__Sericytochromatia; s__uncultured_bacterium
LOWRY-BTS-115	101	132	81	21	53	9	0	37	24	0	0	40	24	0	0	0	16	24	19	0	13	0	33	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae
LOWRY-BTS-116	8	6	0	0	8	46	0	59	37	23	25	94	39	27	41	26	17	41	27	0	24	29	24	d__Bacteria
LOWRY-BTS-117	0	0	0	0	0	31	20	65	34	23	13	42	60	39	34	31	17	30	38	17	27	35	29	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium
LOWRY-BTS-118	128	138	117	39	61	15	0	0	11	0	0	0	18	10	14	0	0	0	0	0	14	14	22	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Simkaniaceae; g__uncultured
LOWRY-BTS-119	77	113	112	20	37	16	5	7	26	9	13	33	19	14	0	6	10	14	16	7	10	7	8	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Nocardioides; s__Nocardioides_sp.
LOWRY-BTS-120	63	151	82	12	74	0	0	18	17	17	0	17	32	16	0	16	0	42	20	9	12	0	0	d__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__JG30-KF-CM66; f__JG30-KF-CM66; g__JG30-KF-CM66; s__metagenome
LOWRY-BTS-121	32	60	52	0	23	44	0	57	54	26	0	58	24	0	38	0	0	31	35	0	0	35	29	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__uncultured
LOWRY-BTS-122	0	0	0	0	0	46	14	87	26	21	12	51	38	19	36	19	18	32	19	0	17	67	38	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
LOWRY-BTS-123	94	180	134	0	79	0	0	0	0	0	0	33	38	0	0	0	0	0	0	19	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
LOWRY-BTS-124	71	207	139	0	107	0	0	0	0	0	0	0	16	0	0	0	0	7	13	0	0	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__metagenome
LOWRY-BTS-125	61	113	97	12	54	15	0	8	20	0	15	28	36	17	0	9	0	21	0	0	15	11	15	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
LOWRY-BTS-126	94	232	143	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__uncultured; s__uncultured_bacterium
LOWRY-BTS-127	69	164	26	0	53	26	0	15	16	0	9	21	11	15	0	0	0	0	22	0	22	28	31	d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__BIrii41; g__BIrii41; s__metagenome
LOWRY-BTS-128	27	33	40	0	0	19	0	36	64	0	0	41	72	16	0	19	0	17	40	17	0	26	40	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__uncultured
LOWRY-BTS-129	54	132	63	6	64	10	0	18	9	11	6	9	27	0	10	25	0	33	12	10	0	14	0	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Rubinisphaeraceae; g__Planctomicrobium; s__uncultured_bacterium
LOWRY-BTS-130	0	0	0	0	0	10	11	13	72	15	14	53	44	42	0	37	19	40	32	31	20	12	30	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Coxiellales; f__Coxiellaceae; g__Coxiella
LOWRY-BTS-131	51	84	63	13	35	13	0	19	26	0	15	17	29	0	12	0	23	27	28	0	0	19	19	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
LOWRY-BTS-132	0	0	0	0	0	0	0	0	0	0	0	167	0	10	135	0	0	0	0	0	21	0	37	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Pantoea
LOWRY-BTS-133	21	23	21	0	0	24	0	39	29	13	14	49	66	30	27	17	13	35	35	0	0	18	28	d__Bacteria; p__MBNT15; c__MBNT15; o__MBNT15; f__MBNT15; g__MBNT15
LOWRY-BTS-134	55	150	104	0	127	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga
LOWRY-BTS-135	46	107	58	0	39	26	7	27	32	0	0	25	30	0	21	16	10	30	0	0	0	10	0	d__Bacteria; p__Chloroflexi; c__OLB14; o__OLB14; f__OLB14; g__OLB14; s__uncultured_gamma
LOWRY-BTS-136	43	111	104	10	57	12	0	0	22	21	0	21	0	0	12	13	0	0	0	0	23	6	6	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
LOWRY-BTS-137	80	139	36	13	30	16	0	25	26	0	0	24	33	8	0	0	0	0	0	0	15	17	23	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PLTA13; f__PLTA13; g__PLTA13; s__metagenome
LOWRY-BTS-138	74	125	94	19	101	0	0	8	6	0	0	14	5	7	8	4	4	12	0	0	0	0	0	d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__uncultured_bacterium
LOWRY-BTS-139	65	135	124	14	47	13	0	0	17	0	0	0	22	0	11	6	0	0	15	0	0	0	9	d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Polyangiaceae; g__Pajaroellobacter
LOWRY-BTS-140	20	50	45	0	0	0	0	23	0	0	0	32	48	0	0	22	19	102	29	0	23	21	20	d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Blastocatellales; f__Blastocatellaceae; g__uncultured
LOWRY-BTS-141	56	111	94	10	22	8	0	11	22	7	0	19	11	10	0	12	6	30	15	0	0	8	9	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__uncultured; g__uncultured; s__metagenome
LOWRY-BTS-142	89	128	104	31	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__Bdellovibrio_sp.
LOWRY-BTS-143	53	68	111	0	25	0	0	20	0	0	0	27	26	25	0	24	0	0	29	9	21	10	9	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Conexibacter
LOWRY-BTS-144	37	117	79	32	92	26	0	10	0	9	0	25	0	0	0	0	0	13	0	8	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae
LOWRY-BTS-145	73	128	100	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	11	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
LOWRY-BTS-146	27	121	88	0	24	0	0	0	9	0	0	24	38	25	0	24	0	29	14	0	0	7	14	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pir4_lineage; s__uncultured_Pirellula
LOWRY-BTS-147	0	0	0	0	0	0	0	47	31	0	0	28	59	0	23	39	22	85	22	0	0	29	26	d__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__JG30-KF-CM66; f__JG30-KF-CM66; g__JG30-KF-CM66
LOWRY-BTS-148	27	23	17	0	37	21	0	46	25	22	19	33	0	11	24	7	0	20	17	12	19	25	20	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__TRA3-20; g__TRA3-20
LOWRY-BTS-149	71	126	41	0	28	12	0	13	0	0	0	20	29	45	10	0	0	14	13	0	0	0	0	d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10; s__uncultured_bacterium
LOWRY-BTS-150	49	120	75	0	0	0	0	0	59	0	0	43	51	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__uncultured; s__uncultured_soil
LOWRY-BTS-151	50	108	141	11	57	0	0	0	0	0	0	18	11	0	0	0	0	0	0	9	0	0	10	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__Longivirga; s__uncultured_bacterium
LOWRY-BTS-152	55	108	89	22	44	0	0	10	0	0	0	0	0	0	17	16	0	0	23	0	0	13	16	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
LOWRY-BTS-153	31	70	62	0	23	20	9	15	34	0	0	30	37	24	0	0	16	14	0	18	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
LOWRY-BTS-154	0	9	0	0	0	43	0	27	22	11	9	28	52	24	22	0	21	38	21	11	12	26	20	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PLTA13; f__PLTA13; g__PLTA13; s__uncultured_sludge
LOWRY-BTS-155	82	167	104	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__uncultured; g__uncultured
LOWRY-BTS-156	70	127	160	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Pseudonocardiales; f__Pseudonocardiaceae; g__Pseudonocardia
LOWRY-BTS-157	59	102	102	0	112	0	0	12	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Phaselicystidaceae; g__Phaselicystis; s__uncultured_bacterium
LOWRY-BTS-158	40	96	34	0	52	18	0	7	16	9	0	15	11	11	0	9	8	11	12	0	11	22	18	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__uncultured
LOWRY-BTS-159	18	42	37	36	32	0	8	17	13	15	0	38	16	25	8	15	22	12	0	17	0	8	9	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium
LOWRY-BTS-160	0	0	0	0	0	13	16	28	37	17	0	40	79	27	0	36	18	44	28	16	0	0	0	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales
LOWRY-BTS-161	51	141	74	0	81	0	0	17	0	0	0	20	0	0	0	0	0	0	14	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Steroidobacterales; f__Steroidobacteraceae; g__uncultured
LOWRY-BTS-162	93	107	80	0	48	0	0	13	0	0	0	16	0	0	0	0	0	0	0	0	23	13	0	d__Bacteria; p__Verrucomicrobiota; c__Chlamydiae; o__Chlamydiales; f__Simkaniaceae; g__Simkania; s__Simkania_negevensis
LOWRY-BTS-163	75	94	110	0	0	0	0	0	0	0	0	68	45	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Coxiellales; f__Coxiellaceae; g__Coxiella
LOWRY-BTS-164	0	153	134	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga
LOWRY-BTS-165	0	0	0	0	0	21	0	47	74	34	22	40	0	0	21	0	0	16	31	0	22	20	37	d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__uncultured_bacterium
LOWRY-BTS-166	96	141	52	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
LOWRY-BTS-167	54	91	73	0	0	0	27	38	0	0	0	0	38	0	0	0	0	0	0	0	0	29	26	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Pedomicrobium; s__uncultured_bacterium
LOWRY-BTS-168	70	97	135	13	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
LOWRY-BTS-169	51	87	120	11	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__JG30-KF-CM66; f__JG30-KF-CM66; g__JG30-KF-CM66; s__uncultured_bacterium
LOWRY-BTS-170	32	80	63	10	57	8	0	12	15	6	0	17	0	9	6	15	6	12	8	0	0	5	7	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Micavibrionales; f__uncultured; g__uncultured; s__uncultured_bacterium
LOWRY-BTS-171	0	98	0	0	0	18	0	40	19	15	17	0	42	16	0	32	0	37	0	0	0	0	27	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Vicinamibacteraceae
LOWRY-BTS-172	63	93	31	0	18	0	0	0	18	7	0	11	45	12	7	0	5	10	16	7	0	8	13	d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Bryobacterales; f__Bryobacteraceae; g__Bryobacter; s__uncultured_bacterium
LOWRY-BTS-173	46	59	28	11	30	29	5	13	0	0	0	0	0	13	18	0	0	6	8	5	14	29	47	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__mle1-8; f__mle1-8; g__mle1-8
LOWRY-BTS-174	39	96	40	0	52	7	3	14	10	0	5	10	20	0	5	4	0	32	7	5	0	0	12	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae; g__uncultured; s__uncultured_bacterium
LOWRY-BTS-175	29	132	69	9	72	0	0	0	0	0	0	0	0	0	10	0	0	11	0	0	11	0	17	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Rubinisphaeraceae; g__uncultured; s__uncultured_bacterium
LOWRY-BTS-176	21	90	33	0	11	5	5	14	12	6	10	22	34	14	17	0	0	21	15	0	12	7	6	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pir4_lineage
LOWRY-BTS-177	36	73	16	0	72	8	5	17	0	8	10	26	8	0	14	4	6	13	7	0	0	14	13	d__Bacteria; p__Sumerlaeota; c__Sumerlaeia; o__Sumerlaeales; f__Sumerlaeaceae; g__Sumerlaea; s__uncultured_organism
LOWRY-BTS-178	50	93	90	24	63	0	0	0	0	0	0	0	0	0	0	0	0	0	8	20	0	0	0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Leucobacter
LOWRY-BTS-179	0	0	0	0	0	36	15	45	22	0	0	37	33	14	36	0	13	19	0	16	17	24	16	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PLTA13; f__PLTA13; g__PLTA13; s__metagenome
LOWRY-BTS-180	5	0	3	0	0	20	7	57	13	9	10	18	14	18	20	24	10	40	6	8	12	14	19	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__uncultured; g__uncultured
LOWRY-BTS-181	50	136	96	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Altererythrobacter
LOWRY-BTS-182	36	117	61	6	43	0	8	7	0	0	0	9	9	0	8	8	0	11	0	0	0	0	0	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Rubinisphaeraceae; g__Planctomicrobium; s__uncultured_bacterium
LOWRY-BTS-183	37	69	50	19	55	12	0	13	22	0	0	0	9	6	0	12	7	0	0	0	0	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__uncultured_bacterium
LOWRY-BTS-184	0	0	0	0	0	7	8	27	15	15	7	24	30	10	10	11	11	21	23	0	23	28	34	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pirellula; s__Planctomycetes_bacterium
LOWRY-BTS-185	46	50	68	34	65	0	0	0	0	0	0	0	28	16	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Pseudorhodoplanes
LOWRY-BTS-186	35	72	40	0	16	19	0	15	15	14	0	0	23	0	27	10	0	0	0	0	20	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
LOWRY-BTS-187	32	70	81	0	10	0	6	6	23	0	0	17	29	10	0	0	0	8	13	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium
LOWRY-BTS-188	33	52	65	0	66	0	0	0	0	11	0	0	0	0	0	0	0	0	25	0	13	20	19	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Pseudohongiellaceae; g__Pseudohongiella
LOWRY-BTS-189	48	67	61	23	41	16	0	0	9	0	0	0	10	0	0	0	0	0	12	0	16	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Kiloniellales; f__Kiloniellaceae; g__uncultured
LOWRY-BTS-190	47	84	54	13	79	4	0	12	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Prosthecobacter
LOWRY-BTS-191	51	21	53	11	48	0	0	15	0	0	0	39	0	0	0	0	0	0	28	0	0	0	21	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__uncultured; s__metagenome
LOWRY-BTS-192	47	76	99	35	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Mesorhizobium
LOWRY-BTS-193	39	88	81	24	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Afipia
LOWRY-BTS-194	40	68	63	0	0	0	0	0	0	0	0	40	61	23	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium
LOWRY-BTS-195	60	72	61	0	72	0	0	0	14	0	5	9	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Bacteroidota; c__Kapabacteria; o__Kapabacteriales; f__Kapabacteriales; g__Kapabacteriales
LOWRY-BTS-196	12	37	0	0	8	0	10	20	15	0	0	17	24	8	12	29	13	48	9	0	0	13	7	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales
LOWRY-BTS-197	44	68	47	10	89	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Vicinamibacteraceae
LOWRY-BTS-198	39	91	71	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae
LOWRY-BTS-199	0	0	0	0	0	35	5	14	26	13	20	19	19	33	8	0	0	17	21	11	10	12	23	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Subgroup_17; f__Subgroup_17; g__Subgroup_17; s__uncultured_Acidobacteria
LOWRY-BTS-200	22	70	55	0	22	8	0	0	0	0	0	20	0	23	0	0	0	48	0	0	9	0	0	d__Bacteria; p__Chloroflexi; c__JG30-KF-CM66; o__JG30-KF-CM66; f__JG30-KF-CM66; g__JG30-KF-CM66; s__uncultured_soil
LOWRY-BTS-201	34	107	64	6	47	0	0	0	0	0	0	0	5	0	0	5	0	7	0	0	0	0	0	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Pirellula; s__uncultured_bacterium
LOWRY-BTS-202	9	31	6	0	7	40	5	22	20	0	0	11	13	0	17	4	7	16	9	0	16	19	18	d__Bacteria; p__Chloroflexi
LOWRY-BTS-203	9	32	65	11	22	8	0	12	15	6	10	15	8	11	0	0	0	13	6	0	0	9	10	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Terrimonas
LOWRY-BTS-204	32	87	45	0	33	7	0	12	11	0	7	0	12	7	0	0	0	12	0	0	0	9	0	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured; s__uncultured_bacterium
LOWRY-BTS-205	36	61	63	0	30	12	0	10	9	0	7	0	18	0	0	0	0	0	7	6	6	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
LOWRY-BTS-206	32	65	130	20	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Bdellovibrionota; c__Oligoflexia; o__Oligoflexales; f__uncultured; g__uncultured; s__uncultured_bacterium
LOWRY-BTS-207	29	64	44	0	44	0	0	0	0	0	0	12	0	0	0	0	0	0	15	11	18	22	11	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Aurantimicrobium; s__uncultured_bacterium
LOWRY-BTS-208	0	0	0	0	0	11	0	9	18	14	11	31	30	0	15	13	0	17	24	0	8	20	38	d__Bacteria; p__Myxococcota; c__Myxococcia; o__Myxococcales; f__Myxococcaceae; g__P3OB-42; s__uncultured_bacterium
LOWRY-BTS-209	0	92	78	0	54	0	0	0	0	14	16	0	0	0	14	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae
LOWRY-BTS-210	34	53	66	17	30	0	0	20	15	0	0	17	0	0	0	0	0	0	0	0	13	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium
LOWRY-BTS-211	43	45	68	0	0	0	0	0	0	0	0	38	70	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
LOWRY-BTS-212	60	64	82	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae
LOWRY-BTS-213	0	34	0	0	58	28	0	0	20	0	0	23	0	0	27	0	0	0	25	0	18	30	0	d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Vicinamibacteraceae
LOWRY-BTS-214	55	102	64	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__SWB02
LOWRY-BTS-215	0	0	0	27	0	0	0	22	31	16	0	37	39	20	0	0	0	18	25	0	0	0	26	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylocystis; s__uncultured_bacterium
LOWRY-BTS-216	54	96	66	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Chloroflexi; c__Dehalococcoidia; o__S085; f__S085; g__S085; s__bacterium_YC-LK-LKJ27
LOWRY-BTS-217	18	94	59	5	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__uncultured_bacterium
LOWRY-BTS-218	23	53	25	36	16	0	0	25	0	0	0	0	0	0	0	19	0	19	0	15	0	0	17	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__PLTA13; f__PLTA13; g__PLTA13
LOWRY-BTS-219	38	39	31	0	19	0	0	0	24	11	0	27	0	11	12	13	0	9	0	0	0	12	9	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
LOWRY-BTS-220	46	44	47	0	22	0	0	0	18	17	0	37	11	0	0	0	0	12	0	0	0	0	0	d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14; s__metagenome
